file,line,match,context
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","24","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_queueMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","36","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_queueMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","95","emit","emit processingError(QString::fromStdString(e.what()));"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","109","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_queueMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.cpp","133","emit","emit processingError(QString::fromStdString(e.what()));"
"D:\Project\BilibiliPlayer\src\audio\audio_event_processor.h","77","std::mutex","mutable std::mutex m_queueMutex;"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","70","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_componentMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","129","emit","emit playbackError(""""Playlist manager not available"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","136","emit","emit playbackError(""""Playlist is empty"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","157","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","168","emit","emit playbackError(""""Playlist manager not available"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","175","emit","emit playbackError(""""Playlist is empty"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","192","emit","emit playbackError(""""Starting song not found in playlist"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","207","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","219","emit","emit playbackError(""""Playlist manager not available"""");"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","239","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","257","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","264","emit","emit currentSongChanged(playlist::SongInfo(), -1);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","284","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","311","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","317","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","345","emit","emit currentSongChanged(m_currentPlaylist[m_currentIndex], m_currentIndex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","359","emit","emit playModeChanged(mode);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","364","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","370","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","389","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","395","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","401","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","407","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","417","std::unique_lock|std::mutex","std::unique_lock<std::mutex> locker(m_stateMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","427","emit","// Only update and emit if changed to avoid excessive signals"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","430","emit","emit positionChanged(m_currentPosition);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","433","emit","// Fallback: emit current cached position"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","434","emit","emit positionChanged(m_currentPosition);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","564","std::unique_lock|std::mutex","std::unique_lock<std::mutex> comMutex(m_componentMutex);"
"D:\Project\BilibiliPlayer\src\audio\audio_player_controller.cpp","582","std::unique_lock|std::mutex","std::unique_lock<std::mutex> comMutex(m_componentMutex);"
